"행정구역","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"서울특별시 서울특별시 송파구 (1171000000)","657,831","258,382","          2.55","320,557","337,274","          0.95","664,496","264,628","          2.51","323,147","341,349","          0.95","666,635","270,866","          2.46","323,526","343,109","          0.94","675,961","278,711","          2.43","327,164","348,797","          0.94","667,960","281,959","          2.37","322,299","345,661","          0.93","658,338","282,417","          2.33","317,346","340,992","          0.93","658,801","284,853","          2.31","317,180","341,621","          0.93","654,166","285,927","          2.29","314,347","339,819","          0.93","650,110","287,017","          2.27","311,728","338,382","          0.92","643,350","285,903","          2.25","307,898","335,452","          0.92"
"서울특별시 송파구 풍납1동(1171051000)","17,031","7,316","          2.33","8,384","8,647","          0.97","16,079","6,988","          2.30","7,921","8,158","          0.97","15,440","6,809","          2.27","7,665","7,775","          0.99","14,681","6,581","          2.23","7,264","7,417","          0.98","13,901","6,383","          2.18","6,829","7,072","          0.97","12,869","5,985","          2.15","6,300","6,569","          0.96","12,386","5,827","          2.13","6,061","6,325","          0.96","11,788","5,594","          2.11","5,788","6,000","          0.96","11,277","5,384","          2.09","5,543","5,734","          0.97","10,753","5,176","          2.08","5,255","5,498","          0.96"
"서울특별시 송파구 풍납2동(1171052000)","25,646","10,314","          2.49","12,303","13,343","          0.92","25,192","10,269","          2.45","12,084","13,108","          0.92","24,939","10,456","          2.39","11,920","13,019","          0.92","25,096","10,694","          2.35","11,927","13,169","          0.91","25,518","11,083","          2.30","12,133","13,385","          0.91","24,785","10,976","          2.26","11,777","13,008","          0.91","24,241","10,855","          2.23","11,494","12,747","          0.90","23,708","10,610","          2.23","11,181","12,527","          0.89","23,050","10,299","          2.24","10,939","12,111","          0.90","22,922","10,415","          2.20","10,829","12,093","          0.90"
"서울특별시 송파구 거여1동(1171053100)","14,652","5,572","          2.63","7,484","7,168","          1.04","13,356","5,274","          2.53","6,823","6,533","          1.04","13,232","5,422","          2.44","6,762","6,470","          1.05","13,114","5,493","          2.39","6,696","6,418","          1.04","12,980","5,652","          2.30","6,579","6,401","          1.03","12,539","5,647","          2.22","6,335","6,204","          1.02","12,181","5,582","          2.18","6,128","6,053","          1.01","12,027","5,573","          2.16","6,018","6,009","          1.00","11,821","5,571","          2.12","5,869","5,952","          0.99","11,725","5,602","          2.09","5,792","5,933","          0.98"
"서울특별시 송파구 거여2동(1171053200)","19,502","7,891","          2.47","9,695","9,807","          0.99","17,833","7,335","          2.43","8,857","8,976","          0.99","17,222","7,199","          2.39","8,507","8,715","          0.98","16,842","7,187","          2.34","8,284","8,558","          0.97","19,243","8,209","          2.34","9,451","9,792","          0.97","18,726","8,150","          2.30","9,210","9,516","          0.97","23,653","10,040","          2.36","11,549","12,104","          0.95","23,561","10,082","          2.34","11,486","12,075","          0.95","23,319","10,077","          2.31","11,305","12,014","          0.94","23,058","10,041","          2.30","11,113","11,945","          0.93"
"서울특별시 송파구 마천1동(1171054000)","22,674","9,435","          2.40","11,551","11,123","          1.04","21,853","9,350","          2.34","11,168","10,685","          1.05","21,141","9,174","          2.30","10,797","10,344","          1.04","20,559","9,072","          2.27","10,518","10,041","          1.05","19,731","8,975","          2.20","10,071","9,660","          1.04","18,916","8,814","          2.15","9,664","9,252","          1.04","18,479","8,708","          2.12","9,480","8,999","          1.05","17,982","8,568","          2.10","9,215","8,767","          1.05","16,162","7,761","          2.08","8,268","7,894","          1.05","15,169","7,257","          2.09","7,745","7,424","          1.04"
"서울특별시 송파구 마천2동(1171055000)","20,926","8,501","          2.46","10,677","10,249","          1.04","20,670","8,549","          2.42","10,482","10,188","          1.03","20,488","8,691","          2.36","10,418","10,070","          1.03","20,060","8,686","          2.31","10,177","9,883","          1.03","19,561","8,886","          2.20","9,919","9,642","          1.03","18,713","8,741","          2.14","9,536","9,177","          1.04","17,995","8,585","          2.10","9,212","8,783","          1.05","17,584","8,517","          2.06","8,985","8,599","          1.04","17,260","8,486","          2.03","8,808","8,452","          1.04","16,961","8,404","          2.02","8,627","8,334","          1.04"
"서울특별시 송파구 방이1동(1171056100)","16,215","5,969","          2.72","7,935","8,280","          0.96","16,624","6,172","          2.69","8,092","8,532","          0.95","16,506","6,201","          2.66","8,004","8,502","          0.94","16,394","6,262","          2.62","7,907","8,487","          0.93","16,188","6,319","          2.56","7,803","8,385","          0.93","15,682","6,229","          2.52","7,555","8,127","          0.93","15,361","6,127","          2.51","7,423","7,938","          0.94","15,124","6,108","          2.48","7,281","7,843","          0.93","14,999","6,153","          2.44","7,179","7,820","          0.92","14,926","6,175","          2.42","7,146","7,780","          0.92"
"서울특별시 송파구 방이2동(1171056200)","24,969","11,820","          2.11","12,154","12,815","          0.95","25,155","12,426","          2.02","12,166","12,989","          0.94","25,333","12,901","          1.96","12,208","13,125","          0.93","25,505","13,511","          1.89","12,187","13,318","          0.92","26,169","14,572","          1.80","12,316","13,853","          0.89","26,489","15,258","          1.74","12,304","14,185","          0.87","25,795","15,147","          1.70","11,841","13,954","          0.85","26,240","15,769","          1.66","11,956","14,284","          0.84","26,121","15,936","          1.64","11,829","14,292","          0.83","26,189","16,098","          1.63","11,762","14,427","          0.82"
"서울특별시 송파구 오륜동(1171056600)","19,698","6,005","          3.28","9,607","10,091","          0.95","19,547","6,039","          3.24","9,573","9,974","          0.96","19,228","6,016","          3.20","9,411","9,817","          0.96","18,853","5,957","          3.16","9,269","9,584","          0.97","18,484","5,956","          3.10","9,090","9,394","          0.97","18,061","5,929","          3.05","8,824","9,237","          0.96","17,784","5,889","          3.02","8,680","9,104","          0.95","17,796","5,896","          3.02","8,723","9,073","          0.96","17,575","5,843","          3.01","8,629","8,946","          0.96","17,522","5,842","          3.00","8,625","8,897","          0.97"
