"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"서울특별시 송파구 (1171000000)","658,338","658,338","48,373","57,635","90,422","106,630","107,209","101,614","87,536","41,260","15,002","2,567","90","317,346","317,346","24,871","29,494","43,016","50,866","51,891","49,314","41,101","20,147","6,015","616","15","340,992","340,992","23,502","28,141","47,406","55,764","55,318","52,300","46,435","21,113","8,987","1,951","75","658,801","658,801","46,120","58,352","87,405","105,496","107,647","101,751","88,899","44,158","16,313","2,577","83","317,180","317,180","23,815","29,766","41,400","50,347","52,124","49,258","41,654","21,403","6,790","610","13","341,621","341,621","22,305","28,586","46,005","55,149","55,523","52,493","47,245","22,755","9,523","1,967","70","654,166","654,166","43,314","57,453","84,619","104,789","106,463","101,034","89,738","46,676","17,246","2,743","91","314,347","314,347","22,408","29,258","39,820","50,036","51,645","48,647","42,062","22,458","7,341","654","18","339,819","339,819","20,906","28,195","44,799","54,753","54,818","52,387","47,676","24,218","9,905","2,089","73","650,110","650,110","41,140","56,850","81,042","105,894","104,729","100,004","89,615","49,551","18,307","2,891","87","311,728","311,728","21,235","28,821","38,026","50,734","50,462","48,303","41,812","23,682","7,905","728","20","338,382","338,382","19,905","28,029","43,016","55,160","54,267","51,701","47,803","25,869","10,402","2,163","67","643,350","643,350","39,189","56,919","76,161","105,907","103,747","97,982","87,780","53,311","19,065","3,206","83","307,898","307,898","20,115","28,738","35,524","50,753","49,912","47,473","40,995","25,146","8,347","878","17","335,452","335,452","19,074","28,181","40,637","55,154","53,835","50,509","46,785","28,165","10,718","2,328","66"
"서울특별시 송파구 풍납1동(1171051000)","12,869","12,869","619","809","1,553","1,771","1,813","2,205","2,428","1,145","461","64","1","6,300","6,300","351","413","811","917","917","1,062","1,112","523","173","20","1","6,569","6,569","268","396","742","854","896","1,143","1,316","622","288","44","0","12,386","12,386","575","765","1,415","1,722","1,721","2,094","2,367","1,176","494","55","2","6,061","6,061","324","403","732","888","867","1,011","1,074","544","198","19","1","6,325","6,325","251","362","683","834","854","1,083","1,293","632","296","36","1","11,788","11,788","543","688","1,276","1,636","1,590","1,991","2,306","1,196","506","53","3","5,788","5,788","305","375","655","861","803","970","1,051","551","201","14","2","6,000","6,000","238","313","621","775","787","1,021","1,255","645","305","39","1","11,277","11,277","491","635","1,179","1,560","1,508","1,863","2,198","1,251","538","53","1","5,543","5,543","253","354","612","828","766","918","1,012","575","208","16","1","5,734","5,734","238","281","567","732","742","945","1,186","676","330","37","0","10,753","10,753","434","593","1,048","1,513","1,388","1,758","2,110","1,297","555","56","1","5,255","5,255","221","322","540","797","696","858","997","595","212","17","0","5,498","5,498","213","271","508","716","692","900","1,113","702","343","39","1"
"서울특별시 송파구 풍납2동(1171052000)","24,785","24,785","1,826","1,962","3,673","4,066","3,958","3,631","3,345","1,640","597","85","2","11,777","11,777","927","993","1,633","1,916","1,919","1,757","1,573","800","238","20","1","13,008","13,008","899","969","2,040","2,150","2,039","1,874","1,772","840","359","65","1","24,241","24,241","1,712","1,926","3,550","3,799","3,885","3,581","3,306","1,731","657","92","2","11,494","11,494","876","968","1,545","1,807","1,880","1,746","1,547","834","275","15","1","12,747","12,747","836","958","2,005","1,992","2,005","1,835","1,759","897","382","77","1","23,708","23,708","1,560","1,880","3,334","3,713","3,760","3,575","3,304","1,809","667","103","3","11,181","11,181","797","944","1,419","1,747","1,844","1,726","1,543","861","287","12","1","12,527","12,527","763","936","1,915","1,966","1,916","1,849","1,761","948","380","91","2","23,050","23,050","1,457","1,794","3,037","3,624","3,562","3,530","3,292","1,897","736","117","4","10,939","10,939","751","904","1,349","1,734","1,726","1,685","1,542","909","321","17","1","12,111","12,111","706","890","1,688","1,890","1,836","1,845","1,750","988","415","100","3","22,922","22,922","1,342","1,738","3,025","3,695","3,451","3,456","3,239","2,073","767","131","5","10,829","10,829","687","884","1,270","1,798","1,670","1,635","1,535","982","339","28","1","12,093","12,093","655","854","1,755","1,897","1,781","1,821","1,704","1,091","428","103","4"
"서울특별시 송파구 거여1동(1171053100)","12,539","12,539","580","927","1,778","1,714","1,772","2,252","2,000","1,052","403","59","2","6,335","6,335","305","475","940","915","878","1,149","973","528","159","12","1","6,204","6,204","275","452","838","799","894","1,103","1,027","524","244","47","1","12,181","12,181","486","877","1,705","1,660","1,681","2,195","2,004","1,068","442","60","3","6,128","6,128","268","444","895","881","839","1,113","971","523","179","14","1","6,053","6,053","218","433","810","779","842","1,082","1,033","545","263","46","2","12,027","12,027","490","849","1,597","1,646","1,595","2,164","2,008","1,142","467","66","3","6,018","6,018","268","436","814","865","812","1,096","976","540","196","13","2","6,009","6,009","222","413","783","781","783","1,068","1,032","602","271","53","1","11,821","11,821","446","773","1,511","1,661","1,508","2,129","2,025","1,200","497","70","1","5,869","5,869","246","385","769","854","784","1,052","992","557","215","15","0","5,952","5,952","200","388","742","807","724","1,077","1,033","643","282","55","1","11,725","11,725","400","736","1,373","1,623","1,455","2,130","2,074","1,332","518","84","0","5,792","5,792","211","366","674","870","732","1,073","1,003","626","211","26","0","5,933","5,933","189","370","699","753","723","1,057","1,071","706","307","58","0"
"서울특별시 송파구 거여2동(1171053200)","18,726","18,726","1,237","1,432","2,170","2,658","2,877","3,235","2,871","1,559","588","97","2","9,210","9,210","639","774","1,123","1,353","1,437","1,568","1,348","732","219","17","0","9,516","9,516","598","658","1,047","1,305","1,440","1,667","1,523","827","369","80","2","23,653","23,653","1,910","1,794","2,627","3,587","3,653","3,948","3,423","1,865","738","104","4","11,549","11,549","984","940","1,317","1,809","1,819","1,918","1,593","868","283","18","0","12,104","12,104","926","854","1,310","1,778","1,834","2,030","1,830","997","455","86","4","23,561","23,561","1,771","1,751","2,475","3,474","3,639","3,990","3,584","1,966","789","118","4","11,486","11,486","908","906","1,260","1,741","1,828","1,931","1,664","915","311","22","0","12,075","12,075","863","845","1,215","1,733","1,811","2,059","1,920","1,051","478","96","4","23,319","23,319","1,650","1,680","2,360","3,470","3,470","3,965","3,641","2,101","851","126","5","11,305","11,305","833","880","1,203","1,704","1,741","1,910","1,710","949","348","27","0","12,014","12,014","817","800","1,157","1,766","1,729","2,055","1,931","1,152","503","99","5","23,058","23,058","1,519","1,694","2,227","3,415","3,366","3,894","3,573","2,309","909","149","3","11,113","11,113","765","865","1,145","1,620","1,711","1,880","1,671","1,054","362","40","0","11,945","11,945","754","829","1,082","1,795","1,655","2,014","1,902","1,255","547","109","3"
"서울특별시 송파구 마천1동(1171054000)","18,916","18,916","817","1,527","2,245","2,130","2,626","3,506","3,317","1,884","761","101","2","9,664","9,664","428","791","1,177","1,165","1,380","1,853","1,668","888","284","30","0","9,252","9,252","389","736","1,068","965","1,246","1,653","1,649","996","477","71","2","18,479","18,479","755","1,455","2,109","2,034","2,537","3,420","3,325","1,894","845","104","1","9,480","9,480","402","770","1,102","1,127","1,333","1,805","1,700","893","321","27","0","8,999","8,999","353","685","1,007","907","1,204","1,615","1,625","1,001","524","77","1","17,982","17,982","673","1,348","1,987","1,982","2,357","3,373","3,374","1,902","876","109","1","9,215","9,215","349","713","1,028","1,095","1,249","1,782","1,714","909","349","27","0","8,767","8,767","324","635","959","887","1,108","1,591","1,660","993","527","82","1","16,162","16,162","565","1,193","1,716","1,787","1,996","3,029","3,101","1,823","857","93","2","8,268","8,268","297","624","896","970","1,053","1,606","1,580","879","347","16","0","7,894","7,894","268","569","820","817","943","1,423","1,521","944","510","77","2","15,169","15,169","512","1,113","1,539","1,699","1,777","2,771","2,968","1,852","832","105","1","7,745","7,745","272","588","810","913","937","1,474","1,486","901","340","24","0","7,424","7,424","240","525","729","786","840","1,297","1,482","951","492","81","1"
"서울특별시 송파구 마천2동(1171055000)","18,713","18,713","770","1,252","2,322","2,156","2,593","3,525","3,533","1,737","724","99","2","9,536","9,536","380","643","1,265","1,187","1,372","1,829","1,761","793","293","13","0","9,177","9,177","390","609","1,057","969","1,221","1,696","1,772","944","431","86","2","17,995","17,995","642","1,171","2,145","2,040","2,441","3,345","3,523","1,806","788","92","2","9,212","9,212","316","601","1,189","1,159","1,287","1,723","1,768","830","324","15","0","8,783","8,783","326","570","956","881","1,154","1,622","1,755","976","464","77","2","17,584","17,584","572","1,061","2,036","1,982","2,304","3,268","3,572","1,858","829","99","3","8,985","8,985","294","541","1,137","1,115","1,237","1,651","1,808","848","338","16","0","8,599","8,599","278","520","899","867","1,067","1,617","1,764","1,010","491","83","3","17,260","17,260","513","993","1,880","1,957","2,142","3,213","3,563","1,981","896","118","4","8,808","8,808","259","513","1,046","1,132","1,137","1,632","1,783","917","368","21","0","8,452","8,452","254","480","834","825","1,005","1,581","1,780","1,064","528","97","4","16,961","16,961","458","938","1,704","1,926","2,043","3,095","3,560","2,150","945","142","0","8,627","8,627","231","474","925","1,128","1,092","1,586","1,756","1,015","393","27","0","8,334","8,334","227","464","779","798","951","1,509","1,804","1,135","552","115","0"
"서울특별시 송파구 방이1동(1171056100)","15,682","15,682","979","1,592","2,355","2,227","2,481","2,668","2,073","870","365","67","5","7,555","7,555","478","804","1,203","1,090","1,131","1,256","975","462","139","17","0","8,127","8,127","501","788","1,152","1,137","1,350","1,412","1,098","408","226","50","5","15,361","15,361","941","1,530","2,187","2,191","2,399","2,621","2,094","939","385","69","5","7,423","7,423","469","767","1,112","1,102","1,107","1,218","994","475","158","21","0","7,938","7,938","472","763","1,075","1,089","1,292","1,403","1,100","464","227","48","5","15,124","15,124","885","1,453","2,090","2,131","2,360","2,587","2,122","1,026","395","69","6","7,281","7,281","437","724","1,046","1,068","1,097","1,209","990","518","171","21","0","7,843","7,843","448","729","1,044","1,063","1,263","1,378","1,132","508","224","48","6","14,999","14,999","830","1,427","1,962","2,173","2,321","2,494","2,161","1,124","423","80","4","7,179","7,179","409","694","973","1,093","1,069","1,180","999","552","187","23","0","7,820","7,820","421","733","989","1,080","1,252","1,314","1,162","572","236","57","4","14,926","14,926","792","1,449","1,827","2,189","2,351","2,406","2,188","1,204","433","83","4","7,146","7,146","393","717","900","1,089","1,089","1,132","1,022","577","203","23","1","7,780","7,780","399","732","927","1,100","1,262","1,274","1,166","627","230","60","3"
"서울특별시 송파구 방이2동(1171056200)","26,489","26,489","1,105","1,190","5,366","6,230","3,645","3,572","3,260","1,530","518","72","1","12,304","12,304","603","646","2,151","2,956","1,830","1,674","1,471","737","216","20","0","14,185","14,185","502","544","3,215","3,274","1,815","1,898","1,789","793","302","52","1","25,795","25,795","1,007","1,098","5,048","6,254","3,635","3,379","3,173","1,558","572","70","1","11,841","11,841","548","597","1,970","2,930","1,802","1,572","1,416","729","255","22","0","13,954","13,954","459","501","3,078","3,324","1,833","1,807","1,757","829","317","48","1","26,240","26,240","927","1,100","5,156","6,487","3,650","3,382","3,172","1,676","610","78","2","11,956","11,956","501","597","1,998","2,964","1,831","1,551","1,430","787","273","23","1","14,284","14,284","426","503","3,158","3,523","1,819","1,831","1,742","889","337","55","1","26,121","26,121","829","1,034","4,997","6,705","3,579","3,343","3,103","1,771","659","97","4","11,829","11,829","443","564","1,926","3,067","1,734","1,538","1,395","821","311","27","3","14,292","14,292","386","470","3,071","3,638","1,845","1,805","1,708","950","348","70","1","26,189","26,189","795","1,038","4,697","6,921","3,708","3,262","3,018","1,932","707","109","2","11,762","11,762","425","562","1,791","3,126","1,780","1,497","1,355","862","332","31","1","14,427","14,427","370","476","2,906","3,795","1,928","1,765","1,663","1,070","375","78","1"
"서울특별시 송파구 오륜동(1171056600)","18,061","18,061","1,182","2,627","2,106","1,661","3,146","3,131","2,623","1,116","371","96","2","8,824","8,824","628","1,441","1,117","684","1,390","1,542","1,226","620","153","23","0","9,237","9,237","554","1,186","989","977","1,756","1,589","1,397","496","218","73","2","17,784","17,784","1,082","2,553","2,020","1,562","3,062","3,070","2,656","1,311","371","95","2","8,680","8,680","570","1,384","1,076","670","1,335","1,515","1,223","720","166","21","0","9,104","9,104","512","1,169","944","892","1,727","1,555","1,433","591","205","74","2","17,796","17,796","1,085","2,534","1,925","1,600","3,036","3,015","2,645","1,469","389","96","2","8,723","8,723","594","1,368","1,032","697","1,341","1,469","1,240","768","188","25","1","9,073","9,073","491","1,166","893","903","1,695","1,546","1,405","701","201","71","1","17,575","17,575","1,095","2,453","1,789","1,635","2,990","2,869","2,656","1,575","411","101","1","8,629","8,629","597","1,315","966","741","1,317","1,397","1,252","820","195","29","0","8,946","8,946","498","1,138","823","894","1,673","1,472","1,404","755","216","72","1","17,522","17,522","1,121","2,461","1,665","1,629","3,050","2,767","2,567","1,722","430","108","2","8,625","8,625","597","1,334","900","742","1,367","1,350","1,216","865","218","36","0","8,897","8,897","524","1,127","765","887","1,683","1,417","1,351","857","212","72","2"
